Title,nbrAvis,specialite,ranking,overallRating,wifi,livraison,prix,Latitude,Longitude,district
Tony's,51 avis ,Française  Bar  Pub,Nº 1 424 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.75639343261719,4.833347797393799,69002  Lyon  
Le Cap,23 avis ,Française,Nº 1 425 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76858139038086,4.803719997406006,69009  Lyon  
La Rive Gauche,11 avis ,no information,Nº 1 426 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.7290153503418,4.830063819885254,69007  Lyon  
Divine Cafe,12 avis ,no information,Nº 1 427 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.74713134765625,4.867350101470947,69003  Lyon  
Oto Oto,146 avis ,Japonaise,Nº 1 428 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.75194549560547,4.840252876281738,Lyon  
Grill Courtepaille,117 avis ,Steakhouse,Nº 1 429 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.75737762451172,4.858113765716553,69003  Lyon  
Le La La Reunion,10 avis ,no information,Nº 15 sur 54 Restaurants à Saint-Priest,4.5 ,no,no,no information,45.70829772949219,4.908146858215332,69800 Saint-Priest  Lyon  
Coreen Barbecue Lyon 3,69 avis ,Asiatique  Barbecue/Grillades,Nº 1 431 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.76110076904297,4.853784084320068,69401  Lyon  
Palais du Sourire,14 avis ,no information,Nº 1 432 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.748775482177734,4.8430280685424805,69007  Lyon  
Harvel's,8 avis ,no information,Nº 1 433 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no information,45.76968002319336,4.850240230560303,69006  Lyon  
Maison Tacca,13 avis ,Italienne,Nº 1 434 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76179122924805,4.851607799530029,69003  Lyon  
Harner,27 avis ,Française  Bar à vins,Nº 1 435 sur 3 058 Restaurants à Lyon,4.0 ,yes,no,11 € -17 €,45.75603485107422,4.85908317565918,69003  Lyon  
Le Chabada Cafe,10 avis ,no information,Nº 1 436 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76386260986328,4.83341121673584,69002  Lyon  
Le Comptoir de la Pizza,28 avis ,no information,Nº 1 437 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.77438735961914,4.830961227416992,69001  Lyon  
Les Délices de la Villette,8 avis ,no information,Nº 1 438 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75627136230469,4.8627471923828125,69003  Lyon  
Bistrot de la Place,13 avis ,no information,Nº 1 440 sur 3 057 Restaurants à Lyon,4.5 ,no,no,no information,45.75132751464844,4.855055809020996,69003  Lyon  
Palais De La Croix Rousse,16 avis ,no information,Nº 1 441 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77438735961914,4.830961227416992,69004  Lyon  
Maison Pochat Boulangerie Pâtisserie,9 avis ,Française,Nº 1 442 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,no information,45.75190353393555,4.8284430503845215,69002  Lyon  
Saigon Gourmet,43 avis ,Vietnamienne,Nº 1 443 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.7567024230957,4.841903209686279,69007  Lyon  
Le Fils Du Boucher,25 avis ,Française,Nº 1 444 sur 3 058 Restaurants à Lyon,4.0 ,no,no,15 € -20 €,45.76849365234375,4.85646390914917,69006  Lyon  
Steak House,19 avis ,Américaine  Steakhouse  Grillades,Nº 64 sur 204 Restaurants à Villeurbanne,4.0 ,no,no,Grillades,45.770782470703125,4.86366081237793,69100 Villeurbanne  Lyon  
Ahika,37 avis ,Japonaise,Nº 1 446 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.76380920410156,4.872089862823486,69006  Lyon  
Le Number One,7 avis ,no information,Nº 65 sur 204 Restaurants à Villeurbanne,5.0 ,no,no,no information,45.76380920410156,4.872089862823486,69100 Villeurbanne  Lyon  
Akdeniz,22 avis ,no information,Nº 16 sur 44 Restaurants à Decines-Charpieu,4.0 ,no,no,no information,45.76837158203125,4.938692092895508,69150 Decines-Charpieu  Lyon  
Le Bistroquet,24 avis ,no information,Nº 1 449 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.75284957885742,4.844709873199463,69007  Lyon  
Aux Tois Cochons,8 avis ,no information,Nº 1 450 sur 3 057 Restaurants à Lyon,4.5 ,no,no,no information,45.77438735961914,4.830961227416992,69004  Lyon  
Crêperie Le Tamanoir,9 avis ,no information,Nº 1 451 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.75194549560547,4.840252876281738,69007  Lyon  
C-Gastronomie Boutique Lyautey,9 avis ,no information,Nº 1 452 sur 3 058 Restaurants à Lyon,4.5 ,no,no,6 € -12 €,45.76708984375,4.845279216766357,69006  Lyon  
Delices D'asie,18 avis ,no information,Nº 66 sur 204 Restaurants à Villeurbanne,4.0 ,no,no,no information,45.770782470703125,4.86366081237793,69100 Villeurbanne  Lyon  
Ahika,41 avis ,Japonaise,Nº 1 454 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.744930267333984,4.865880012512207,69008  Lyon  
L'Accord Parfait,21 avis ,Française,Nº 1 455 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.751338958740234,4.830699920654297,69002  Lyon  
L'epiaison,9 avis ,Française,Nº 1 456 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.7598876953125,4.830905914306641,69005  Lyon  
Muraato,11 avis ,no information,Nº 1 457 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.759883880615234,4.831785202026367,69002  Lyon  
Le Comptoir de Decines,11 avis ,no information,Nº 17 sur 44 Restaurants à Decines-Charpieu,4.5 ,no,no,no information,45.76837158203125,4.938692092895508,69150 Decines-Charpieu  Lyon  
Soulfood cafe,22 avis ,Américaine  Européenne  Française,Nº 12 sur 46 Restaurants à Bron,4.0 ,yes,yes,9 € -15 €,45.726707458496094,4.926478862762451,69500 Bron  Lyon  
Le Biniou,27 avis ,Française,Nº 1 460 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,9 € -16 €,45.76849365234375,4.85646390914917,69006  Lyon  
L'Estanco,17 avis ,Végétariens bienvenus,Nº 1 461 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76708984375,4.845279216766357,69006  Lyon  
Le Quai 31,63 avis ,no information,Nº 1 462 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.751338958740234,4.830699920654297,69002  Lyon  
Cellerier,15 avis ,Française  Fruits de mer & Poisson,Nº 1 463 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76179122924805,4.851607799530029,69003  Lyon  
Creperie du Parc,49 avis ,Française,Nº 1 464 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.76848602294922,4.8462090492248535,69006  Lyon  
Mansaya,6 avis ,Cajun & Créole  Pizza,Nº 1 465 sur 3 058 Restaurants à Lyon,5.0 ,no,no,10 € -15 €,45.76527786254883,4.827816963195801,69005  Lyon  
Cafe Nova,17 avis ,no information,Nº 1 466 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.74885177612305,4.839950084686279,69007  Lyon  
La Buvette du Pont Wilson,24 avis ,Française  Bar à vins  Bar à bières,Nº 1 467 sur 3 058 Restaurants à Lyon,4.0 ,no,no,2 € -25 €,45.75843811035156,4.841518878936768,69003  Lyon  
Flunch Lyon Ecully,16 avis ,Française,Nº 10 sur 26 Restaurants à Ecully,4.0 ,no,no,11 € -20 €,45.78678894042969,4.765049934387207,69130 Ecully  Lyon  
Pizza Pippo,53 avis ,Italienne  Pizza,Nº 1 469 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.744930267333984,4.865880012512207,69008  Lyon  
Madamann  Crêperie Comptoir,15 avis ,Française  Cuisine de rue (street food),Nº 1 470 sur 3 058 Restaurants à Lyon,4.0 ,no,no,6 € -12 €,45.76845932006836,4.827991008758545,69001  Lyon  
Restaurant La Belle Colombe,37 avis ,no information,Nº 67 sur 204 Restaurants à Villeurbanne,3.5 ,no,no,no information,45.770782470703125,4.86366081237793,69100 Villeurbanne  Lyon  
El Chiringuito,31 avis ,no information,Nº 68 sur 204 Restaurants à Villeurbanne,4.0 ,no,no,no information,45.75360107421875,4.891839981079102,69100 Villeurbanne  Lyon  
Pit ZA Pot,10 avis ,Italienne  Américaine,Nº 1 473 sur 3 058 Restaurants à Lyon,4.5 ,no,no,9 € -15 €,45.75737762451172,4.858113765716553,69003  Lyon  
Chez Margotte,12 avis ,Moderne  Bar à vins  Cuisine de rue (street food),Nº 1 474 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.75132751464844,4.855055809020996,69003  Lyon  
Carnegie Club 239,67 avis ,Française,Nº 1 475 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.7290153503418,4.830063819885254,69007  Lyon  
Vos Sushi,9 avis ,no information,Nº 9 sur 36 Restaurants à Vaulx en Velin,4.5 ,no,no,no information,45.77484130859375,4.914850234985352,69120 Vaulx en Velin  Lyon  
Le Jaboulay,18 avis ,Française,Nº 1 477 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.746891021728516,4.844983100891113,69007  Lyon  
La Petite Madeleine,9 avis ,no information,Nº 1 478 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77445983886719,4.808450222015381,69009  Lyon  
Le Jardin du Bambou,34 avis ,no information,Nº 1 479 sur 3 058 Restaurants à Lyon,4.0 ,no,no,10 € -30 €,45.756492614746094,4.84303092956543,69003  Lyon  
Mrs Wynn,51 avis ,Sushi  Asiatique  Vietnamienne,Nº 1 480 sur 3 058 Restaurants à Lyon,3.5 ,yes,yes,11 € -60 €,45.763099670410156,4.8345232009887695,69002  Lyon  
O Vins D'Anges,12 avis ,no information,Nº 1 481 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.77438735961914,4.830961227416992,69004  Lyon  
Kiwee la Saladerie,8 avis ,Française,Nº 1 482 sur 3 058 Restaurants à Lyon,4.5 ,no,yes,6 € -12 €,45.76179122924805,4.851607799530029,69006  Lyon  
Comptoir 43,10 avis ,no information,Nº 1 483 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76968002319336,4.850240230560303,69006  Lyon  
The Maze : Resto Bistro Club,45 avis ,Française,Nº 9 sur 16 Restaurants à Limonest,3.5 ,no,no,no information,45.81820297241211,4.759436130523682,69760 Limonest  Lyon  
Les Gamins De La Place,45 avis ,no information,Nº 1 485 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.743133544921875,4.870071887969971,69008  Lyon  
Le Masséna,21 avis ,Bar à bières  Café  Brasserie gastronomique,Nº 1 486 sur 3 058 Restaurants à Lyon,3.5 ,no,no,Bar à bières,45.76110076904297,4.853784084320068,69006  Lyon  
Restaurant Emese,15 avis ,Méditerranéenne,Nº 1 487 sur 3 058 Restaurants à Lyon,4.5 ,no,no,7 € -33 €,45.76380920410156,4.872089862823486,69006  Lyon  
les feuillants,24 avis ,no information,Nº 1 488 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76668930053711,4.837160110473633,Lyon  
Maison Guitel,6 avis ,Française  Café  Restauration rapide,Nº 1 489 sur 3 058 Restaurants à Lyon,5.0 ,no,yes,4 € -8 €,45.76629638671875,4.831736087799072,69001  Lyon  
Kelly's,43 avis ,Bar à bières  Pub,Nº 1 490 sur 3 058 Restaurants à Lyon,3.5 ,no,no,10 € -15 €,45.76337432861328,4.827271938323975,69005  Lyon  
Môt Hai Ba Viêt Nam,13 avis ,Asiatique  Vietnamienne  Végétariens bienvenus,Nº 1 491 sur 3 058 Restaurants à Lyon,4.0 ,no,no,7 € -14 €,45.74923324584961,4.838592052459717,69007  Lyon  
Restaurant Cocoo,138 avis ,Asiatique  Thaï  Vietnamienne,Nº 1 492 sur 3 058 Restaurants à Lyon,3.5 ,no,no,no information,45.76485824584961,4.833683013916016,69001  Lyon  
Le Comptoir de Mathilde,13 avis ,no information,Nº 1 493 sur 3 058 Restaurants à Lyon,4.0 ,no,no,no information,45.76337432861328,4.827271938323975,69005  Lyon  
Cafe Theatre la Mi Graine,8 avis ,Bar à bières  Pub,Nº 1 494 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no information,45.766624450683594,4.82803201675415,69005  Lyon  
Cafe du Gros Caillou,175 avis ,Grillades  Française  Bar à bières,Nº 1 495 sur 3 058 Restaurants à Lyon,3.5 ,no,no,13 € -20 €,45.77438735961914,4.830961227416992,69001  Lyon  
NAMASKAR,145 avis ,Indienne  Végétariens bienvenus,Nº 1 496 sur 3 058 Restaurants à Lyon,3.5 ,yes,yes,3 € -25 €,45.741241455078125,4.815425872802734,69002  Lyon  
Ibis Kitchen Lyon Est bRON,28 avis ,Française,Nº 13 sur 46 Restaurants à Bron,4.0 ,yes,no,9 € -25 €,45.746768951416016,4.904850006103516,69500 Bron  Lyon  
